Age,Gender,Tenure,MonthlyCharges
49,0,4,88.35
43,0,0,36.67
51,1,2,63.79
60,1,8,102.34
42,0,32,69.01
42,1,16,119.75
60,0,14,80.32
52,1,6,58.9
40,1,53,49.81
50,1,10,61.55
40,1,1,63.53
40,1,19,36.18
47,0,2,63.26
25,1,8,71.78
27,0,14,95.05
39,1,41,89.11
34,1,13,93.79
48,1,24,30.75
35,0,98,49.59
30,1,2,89.55
59,1,6,73.56
42,1,10,30.48
45,0,10,102.4
30,0,10,99.55
39,0,47,79.36
46,0,25,35.98
33,1,18,98.99
48,0,7,82.53
38,1,34,100.38
42,0,62,97.66
38,0,34,102.27
63,1,0,76.62
44,1,20,42.63
34,1,1,90.4
53,1,5,85.84
32,1,1,96.8
47,0,18,45.29
25,1,23,47.55
31,1,2,110.14
46,1,9,97.5
52,0,12,111.74
46,1,9,98.28
43,0,2,83.74
41,0,10,88.87
30,0,27,110.02
37,0,1,82.09
40,1,1,86.92
55,1,8,44.08
48,1,56,72.65
27,0,22,94.48
48,0,22,54.38
41,0,8,48.2
38,1,18,58.24
51,0,0,51.74
55,1,20,49.34
54,1,48,68.24
36,0,18,111.71
41,1,41,75.64
48,1,25,46.91
54,1,2,36.93
40,1,46,92.65
43,0,1,64.45
33,0,15,103.96
33,1,3,89.36
53,1,0,101.66
58,0,10,54.48
44,1,6,92.31
55,1,13,53.77
48,1,17,114.52
38,0,0,87.27
48,1,2,59.21
60,1,16,54.26
44,0,8,47.18
60,0,26,92.52
18,1,21,49.68
53,0,37,83.58
45,1,23,53.82
42,1,11,89.58
45,0,22,103.34
25,1,6,100.02
42,0,7,98.48
48,1,31,46.9
59,0,11,37.95
39,1,32,92.91
36,0,34,63.15
39,0,38,68.91
54,1,49,32.8
48,0,11,53.36
39,1,7,33.03
50,0,17,109.13
45,1,9,51.91
54,0,18,80.16
37,1,24,33.51
41,0,23,90.02
41,0,9,59.07
30,0,3,110.81
47,0,11,109.93
47,1,3,59.28
45,0,44,111.09
42,1,8,119.65
30,0,3,104.29
40,0,0,106.04
41,1,20,52.41
36,1,20,81.9
43,0,8,36.05
49,0,1,38.54
63,0,10,119.9
46,1,7,59.4
47,1,22,97.34
44,0,18,102.6
25,1,9,107.22
44,1,4,119.79
45,1,88,51.73
69,1,12,33.63
43,0,23,67.01
48,0,3,41.71
44,0,13,32.02
33,0,0,62.44
56,1,14,100.54
52,1,66,80.96
52,0,9,58.15
35,0,0,88.89
59,0,0,50.88
30,1,9,31.29
50,0,3,98.79
66,1,0,86.14
35,0,28,98.61
39,0,12,33.5
45,1,6,105.34
39,1,46,85.76
29,0,2,80.71
45,1,62,86.22
34,1,7,107.8
49,1,43,82.82
35,0,18,82.29
60,1,35,119.16
37,1,82,98.11
41,1,6,69.81
53,0,64,93.67
32,0,9,65.03
47,0,9,50.6
58,1,8,83.72
28,0,15,113.54
46,1,3,113.62
47,1,16,60.77
52,0,15,77.49
32,1,28,49.05
31,0,35,119.61
50,1,11,118.3
47,0,7,88.46
47,1,6,102.4
48,1,4,94.36
38,1,1,83.38
47,1,8,34.8
47,1,6,70.93
37,1,67,90.73
63,1,16,90.98
49,1,8,63.58
33,0,17,114.75
51,1,2,45.06
35,1,11,75.03
52,1,19,92.18
56,0,13,92.74
36,1,10,88.38
54,0,101,54.78
49,1,42,44.06
53,0,19,87.23
63,1,16,83.94
42,1,19,46.14
37,0,4,93.46
36,1,10,70.97
36,0,0,90.1
44,1,12,105.36
48,1,15,45.28
47,1,5,31.72
53,1,66,100.12
45,1,48,84.87
59,0,25,92.97
42,0,15,105.43
72,1,40,102.25
51,1,2,116.48
36,1,31,78.23
34,1,2,73.96
49,0,31,66.17
42,1,6,43.83
52,0,41,81.53
49,1,57,54.93
44,0,3,112.92
36,0,12,82.49
29,0,79,83.36
40,0,13,61.94
53,1,39,34.68
47,0,17,32.86
32,0,9,68.1
46,0,6,37.61
48,0,4,84.62
36,0,28,109.29
46,0,9,109.46
45,1,14,89.31
33,1,13,49.01
48,1,17,107.67
50,0,40,109.75
55,0,78,47.7
55,1,10,96.37
31,1,35,55.79
35,0,28,102.24
50,0,17,119.75
50,0,62,32.7
50,0,4,110.76
83,0,2,86.04
50,1,38,117.6
56,1,11,71.85
54,1,37,106.26
51,1,44,35.62
41,1,1,60.18
52,1,42,36.03
37,1,11,117.78
42,0,14,103.53
40,0,19,106.73
45,0,52,114.42
68,1,0,37.66
26,1,12,64.7
51,0,23,36.39
28,1,25,48.97
40,0,23,50.64
55,1,2,72.22
45,0,7,54.17
34,0,8,39.09
37,1,32,45.07
51,0,6,43.25
37,0,4,117.58
47,0,63,98.34
45,1,0,117.1
38,1,122,69.58
66,0,22,55.05
51,1,35,101.85
24,1,6,59.36
46,0,0,56.94
38,0,26,50.93
53,0,35,41.67
37,0,26,53.08
43,1,3,61.98
50,0,28,90.66
53,1,29,35.63
32,1,21,48.95
41,0,29,102.81
40,1,37,43.22
38,0,19,60.84
62,1,1,107.82
49,1,13,43.94
32,1,1,37.45
54,1,10,73.61
66,0,10,57.22
55,1,1,80.71
29,1,8,102.34
40,1,2,42.34
57,1,33,82.26
37,1,59,75.5
49,0,1,42.97
52,0,62,86.16
35,1,14,54.63
44,0,7,73.91
12,1,1,37.4
34,1,13,71.36
42,0,31,57.58
32,0,24,104.01
61,1,1,35.13
30,0,1,67.67
40,1,10,71.26
46,0,6,95.25
59,1,5,81.69
30,0,6,90.05
56,1,32,99.93
45,0,52,107.6
35,1,10,58.25
49,0,47,78.42
46,1,7,105.61
38,1,12,119.05
45,0,5,110.06
41,0,20,63.43
46,0,77,47.56
51,1,18,74.05
60,1,8,96.75
32,1,20,74.33
66,0,2,73.49
25,0,43,105.44
43,1,13,62.53
50,1,11,107.38
47,1,17,66.61
38,0,19,59.54
42,1,1,70.86
40,0,22,98.62
39,0,5,41.34
53,1,25,47.68
48,1,34,115.63
38,1,32,45.79
53,0,16,81.1
48,0,14,82.14
53,1,3,74.07
51,1,29,88.03
36,0,6,50.68
39,0,13,79.74
52,0,6,63.5
51,1,2,89.55
44,0,19,42.71
46,0,1,81.38
57,0,27,46.67
39,0,7,55.08
50,0,0,49.68
42,1,14,46.46
42,0,0,104.31
55,1,6,55.71
53,0,24,113.44
53,1,1,117.29
58,1,36,81.41
45,1,0,42.87
51,1,5,63.71
41,0,27,101.8
48,0,7,63.07
43,1,2,37.83
45,1,8,80.11
50,1,6,106.06
36,1,36,101.63
65,1,7,45.76
34,0,31,90.55
32,0,44,49.85
56,1,11,49.64
52,1,48,108.67
51,0,9,52.47
51,1,66,53.69
44,0,1,30.06
36,1,23,108.36
45,0,13,101.33
38,0,9,86.46
54,1,20,97.52
43,0,24,43.68
36,1,0,71.25
41,1,3,61.61
49,1,24,38.44
39,0,21,73.75
36,0,67,112.87
47,0,28,33.61
47,1,60,56.23
39,1,24,48.68
40,1,7,51.43
47,1,2,111.76
30,1,30,72.13
30,1,20,71.97
37,0,0,98.45
42,1,8,43.9
48,0,62,73.85
59,1,13,68.7
53,1,11,83.72
43,1,12,119.96
44,0,4,99.25
34,0,9,65.81
44,0,9,104.48
42,0,1,45.36
48,0,29,32.74
36,1,10,48.4
50,1,34,60.64
60,0,37,75.95
43,0,4,85.36
49,0,21,111.95
51,1,12,75.89
40,1,42,75.11
47,1,4,34.52
45,1,22,33.14
45,1,18,79.6
37,1,6,69.44
45,0,2,105.53
49,1,21,44.46
59,0,26,32.25
54,1,7,70.41
66,0,20,51.37
37,1,10,34.47
53,1,24,95.21
46,1,4,40.04
66,1,44,84.75
36,0,6,55.29
36,0,9,45.61
39,0,1,64.18
23,0,2,102.13
39,1,14,65.29
37,0,6,97.57
46,1,36,41.29
48,1,0,99.55
63,1,9,51.32
54,0,8,90.97
39,1,0,80.92
36,1,2,113.62
49,1,10,64.86
31,1,13,35.95
63,1,10,31.72
56,0,15,104.42
40,1,18,77.23
27,0,0,99.77
58,0,12,51.1
43,0,66,61.06
57,0,14,32.71
29,0,22,116.53
39,0,7,90.11
45,1,29,113.99
45,1,29,53.89
40,1,14,85.03
51,0,74,91.06
34,0,2,58.58
43,1,0,106.33
46,0,29,115.24
50,0,32,109.64
52,1,2,96.52
33,0,6,54.97
29,1,0,55.35
57,1,6,116.7
48,0,29,30.93
37,0,14,94.44
60,1,8,93.56
46,0,9,86.04
56,0,0,119.11
45,1,7,58.07
65,0,20,60.6
62,1,73,37.1
42,1,37,69.85
54,0,0,53.49
51,0,45,60.9
58,0,30,105.11
35,0,30,114.19
51,0,12,46.72
55,1,10,63.53
27,0,7,113.58
33,1,1,35.56
24,1,5,38.31
42,1,5,44.65
52,1,13,83.57
60,0,27,43.54
45,1,12,117.13
61,1,1,70.2
31,0,63,75.14
27,0,57,52.2
44,1,30,72.39
48,0,94,89.57
44,0,15,97.61
24,0,65,97.85
44,0,1,82.01
31,1,9,111.39
51,1,5,103.57
48,1,4,98.13
35,0,3,35.0
39,0,19,30.62
34,1,30,49.12
44,0,17,89.72
54,0,3,67.01
35,1,33,66.22
50,0,20,109.61
39,1,9,110.6
37,0,22,111.83
43,0,6,58.25
34,0,8,92.2
39,1,49,54.45
33,1,6,47.15
64,1,12,46.62
45,1,44,60.79
38,0,24,68.7
47,1,1,104.79
43,0,3,40.79
42,1,0,96.14
51,0,19,77.83
52,1,11,55.92
39,0,2,74.35
39,0,63,56.99
42,1,15,83.65
21,0,5,69.05
29,0,13,44.8
58,0,22,40.49
61,0,1,79.2
42,1,6,111.22
50,1,32,60.96
48,1,12,95.97
75,1,15,89.28
56,0,11,113.84
43,1,0,103.89
35,0,3,80.99
28,0,11,89.13
47,1,4,110.85
37,0,1,65.96
30,1,37,59.41
38,0,79,30.97
34,1,31,104.39
61,1,38,102.09
53,1,5,39.4
44,1,64,81.92
59,1,4,71.76
45,0,60,40.68
36,1,105,118.25
60,0,24,49.32
50,1,79,36.05
34,1,16,83.54
43,1,6,96.5
36,0,11,32.92
31,0,18,89.28
54,1,1,77.91
64,0,19,39.29
31,0,79,45.53
50,0,4,81.12
38,1,31,56.67
40,1,47,114.45
39,0,57,103.69
36,0,64,118.52
45,0,14,53.37
36,1,75,117.28
47,1,28,68.81
44,0,3,61.28
42,0,12,34.53
35,0,25,34.75
39,1,5,92.28
52,1,20,71.21
50,0,21,50.39
35,0,3,85.26
45,0,16,52.76
52,1,29,81.99
28,0,13,62.33
50,1,0,104.12
38,1,0,103.86
50,0,8,72.96
37,0,52,61.57
26,0,5,62.63
28,1,20,102.51
45,1,5,59.54
47,1,7,48.82
35,1,37,37.62
51,0,26,72.0
28,1,2,73.39
44,1,11,105.68
32,0,0,49.91
38,1,13,64.29
45,1,21,102.76
36,1,2,104.13
41,1,6,64.61
55,1,10,71.32
39,1,50,57.3
53,0,99,113.93
33,0,0,40.68
50,1,28,114.04
59,0,9,91.55
20,0,9,77.84
37,0,28,32.94
50,0,50,72.8
42,1,60,66.7
48,1,17,44.51
38,0,8,89.08
45,0,30,117.4
43,0,5,80.6
56,1,16,94.33
47,1,8,36.16
48,0,21,67.59
40,1,5,40.47
40,1,4,85.15
40,1,50,114.46
48,1,2,89.56
40,0,14,36.91
47,1,4,61.92
65,0,0,79.56
53,1,0,66.29
41,1,3,105.03
57,1,40,103.32
40,1,6,85.06
24,0,60,63.61
34,1,17,52.98
26,1,11,39.53
41,1,17,61.94
45,0,14,67.19
61,0,28,90.82
48,0,6,89.23
42,1,8,36.31
53,1,44,65.57
22,0,58,46.36
47,1,44,44.11
52,1,10,104.46
30,1,30,33.77
56,1,12,67.73
48,1,13,45.14
40,1,4,109.14
51,0,17,80.13
67,1,4,50.82
46,1,8,75.22
47,1,38,95.83
40,1,4,116.23
36,1,1,49.84
53,0,1,109.76
36,0,56,114.09
45,0,14,112.48
40,0,10,87.19
49,1,33,86.68
48,1,36,66.29
55,0,8,97.72
39,0,23,77.82
42,1,29,90.97
35,0,21,68.56
40,1,3,95.83
48,1,41,104.2
52,1,15,43.18
35,0,6,104.96
53,0,11,78.63
58,1,0,106.02
49,1,2,68.82
63,0,29,64.11
37,1,0,112.36
32,0,10,52.61
27,1,14,105.98
59,0,1,73.56
51,1,72,76.27
44,0,5,57.76
47,0,7,81.57
33,0,7,59.27
69,0,5,33.53
46,1,0,54.48
46,1,26,30.57
52,0,68,118.05
49,0,5,116.92
47,1,21,65.56
37,1,27,95.55
49,1,37,61.12
63,0,10,90.4
58,0,7,102.49
60,1,7,115.21
39,0,24,66.02
35,1,33,100.5
43,0,4,53.93
45,1,9,119.13
55,0,46,32.32
28,1,32,84.32
60,1,83,89.36
43,1,28,91.92
40,0,9,40.83
34,1,17,114.47
28,1,21,46.31
53,1,1,86.05
45,1,15,50.04
32,1,24,57.65
32,1,3,79.18
41,0,30,67.55
61,1,17,44.42
42,1,60,45.38
29,0,0,67.63
42,0,6,98.16
42,0,18,110.82
18,1,7,37.57
44,1,25,65.38
42,1,28,39.02
51,1,2,31.49
63,0,14,89.55
56,0,14,84.22
42,0,9,44.67
33,0,54,51.04
70,0,35,32.13
45,0,23,105.15
45,1,25,117.72
44,1,12,42.19
46,1,50,50.83
43,1,23,108.16
39,1,26,113.38
39,0,39,67.77
44,1,6,34.56
39,1,32,33.55
37,0,4,81.66
46,0,8,65.36
42,1,8,32.58
60,0,76,82.49
18,1,38,31.02
55,1,24,100.86
57,0,25,57.58
24,0,16,33.62
41,0,58,82.95
41,0,13,65.79
30,0,9,117.64
37,1,3,78.98
33,0,30,54.77
62,1,26,93.85
54,0,9,54.43
57,1,0,111.38
52,0,36,63.72
33,0,0,79.49
39,1,24,34.55
49,1,70,68.35
32,0,11,104.91
52,1,5,102.51
42,0,24,50.19
41,1,33,50.35
52,0,15,103.56
49,0,68,113.74
41,1,1,38.58
56,1,14,70.51
34,0,25,60.37
51,1,39,108.36
50,1,3,37.52
41,0,32,49.0
48,1,16,97.72
32,0,10,34.62
54,1,2,74.33
43,1,40,69.79
39,1,3,60.1
55,0,7,65.51
37,0,6,77.69
30,0,41,44.52
29,0,22,81.48
51,0,31,102.49
32,1,5,98.41
62,0,19,43.85
24,0,16,43.43
61,1,35,54.14
47,0,47,62.5
44,1,0,66.76
39,0,22,91.17
48,1,1,35.1
44,0,15,33.12
56,0,6,65.27
46,1,7,92.74
46,0,8,47.41
41,1,19,87.74
44,0,8,53.38
48,0,26,109.75
27,1,10,110.61
31,0,1,56.76
52,1,30,50.7
46,1,6,67.02
43,1,11,51.65
45,1,23,90.51
48,0,8,104.35
39,0,1,90.58
37,0,9,104.19
46,1,57,65.73
35,1,20,44.07
49,0,22,96.42
27,1,20,62.44
55,0,4,90.41
49,1,10,54.36
47,0,27,37.31
54,1,2,119.33
61,1,6,44.06
55,0,6,118.96
26,0,11,117.96
32,0,78,101.44
38,0,1,89.35
45,0,14,82.0
50,1,3,107.95
37,1,70,56.05
46,1,2,72.09
37,0,10,85.75
38,1,26,67.01
30,1,24,68.47
35,0,10,59.73
31,1,8,80.78
35,1,10,106.55
55,0,6,48.14
35,0,4,114.1
71,1,13,92.02
49,0,6,104.09
46,1,6,80.06
36,1,21,100.16
52,1,69,31.46
39,0,18,103.65
46,0,1,33.61
70,1,1,110.09
44,1,60,119.28
56,0,7,56.47
37,1,1,48.93
44,1,18,98.88
62,0,19,52.77
38,0,20,107.9
63,1,6,39.26
52,0,0,41.34
39,0,67,118.12
51,0,5,90.65
54,0,22,106.22
51,1,24,59.19
29,1,18,90.88
37,0,7,83.48
42,1,6,84.28
44,1,18,91.43
51,1,40,81.78
46,0,58,68.62
31,0,2,54.83
48,1,3,99.17
51,1,57,50.36
50,0,26,92.31
55,0,42,51.0
53,0,4,86.28
49,1,17,97.24
44,1,24,49.68
28,1,22,35.39
49,0,10,41.79
47,1,0,84.54
47,1,17,106.45
32,0,5,34.05
34,1,11,96.07
55,1,63,60.72
44,0,10,73.07
51,1,36,113.6
45,0,4,59.88
45,1,22,71.88
54,1,75,31.23
39,1,2,37.34
45,1,0,53.27
40,0,11,32.51
40,1,1,86.82
41,1,27,68.38
47,0,49,79.33
40,1,11,45.72
57,1,5,56.63
36,0,11,89.74
43,1,25,116.88
40,1,0,34.54
59,0,17,110.13
46,1,19,81.92
55,0,20,80.75
30,0,5,75.03
47,0,25,36.25
53,1,1,38.09
45,1,4,84.08
55,0,41,60.69
39,0,26,112.55
59,1,0,66.59
67,0,5,42.9
41,1,4,94.32
40,1,6,56.4
59,1,5,77.29
60,1,1,92.8
39,0,12,111.02
40,1,26,101.3
42,1,18,90.87
31,1,22,91.17
35,0,1,115.13
34,1,60,56.62
37,0,36,30.1
44,0,32,54.48
47,0,34,49.61
60,1,53,89.57
35,1,15,87.03
54,1,4,83.41
42,1,19,31.46
44,0,27,95.59
51,1,26,59.12
33,0,14,89.86
48,1,1,80.09
46,1,9,60.85
49,1,50,42.11
47,1,17,38.5
69,0,15,104.84
38,0,6,112.66
39,1,9,88.48
38,0,45,39.31
39,0,21,66.18
38,1,30,95.6
56,1,12,100.18
59,0,19,40.64
39,0,5,30.0
36,1,24,94.09
49,1,11,62.09
39,0,11,52.9
51,0,20,31.16
47,0,55,78.63
29,0,1,106.6
60,0,34,116.19
62,1,6,80.92
38,1,11,76.3
41,1,0,37.66
47,0,7,79.4
48,1,13,64.2
51,0,1,84.64
65,1,13,64.99
43,1,52,51.63
37,0,2,38.55
31,1,28,58.34
37,0,10,38.7
44,1,21,45.92
62,0,6,118.86
39,0,3,69.97
47,1,3,77.87
44,0,1,108.63
56,1,4,119.6
70,0,21,82.44
39,1,42,103.12
40,1,33,59.42
55,1,23,57.52
51,0,2,66.24
63,0,6,90.53
50,0,7,91.4
41,0,5,58.37
50,1,14,41.99
56,1,15,86.92
53,1,8,41.55
50,1,8,82.06
55,1,35,92.41
56,1,31,93.06
58,0,7,97.81
51,1,49,108.56
43,1,61,75.0
46,1,7,95.72
57,0,8,85.73
36,0,14,46.8
48,0,56,32.31
41,1,41,55.61
45,1,2,69.87
57,0,9,85.54
46,1,16,106.5
45,0,13,47.66
31,0,4,41.3
52,0,39,116.71
51,1,22,39.72
66,1,36,73.06
41,0,39,82.7
47,1,27,78.72
47,0,11,37.74
60,1,18,35.13
44,1,3,39.49
47,1,22,82.7
51,0,3,78.99
46,1,23,51.04
40,1,5,87.4
46,0,2,103.81
55,1,3,33.74
34,0,0,74.83
46,1,25,92.04
37,0,26,52.71
56,1,14,57.7
29,1,3,85.23
39,0,1,110.81
48,0,0,102.89
60,0,3,82.48
44,0,44,95.72
39,0,5,62.83
63,1,8,87.69
30,0,2,71.96
23,0,5,47.09
49,1,14,93.16
39,0,18,80.08
34,1,5,62.28
52,1,1,112.02
47,1,9,31.88
39,1,5,58.42
32,1,4,35.12
53,0,64,98.99
51,0,19,93.19
44,0,16,59.82
63,1,10,90.81
34,0,11,65.63
29,1,15,98.06
38,1,23,70.88
44,1,24,67.11
47,1,3,114.13
42,0,13,52.58
48,1,10,40.84
32,1,40,82.61
59,0,19,117.24
44,0,15,64.01
56,1,2,35.58
48,1,18,60.54
49,1,2,75.53
50,1,8,44.57
49,1,3,89.23
51,1,23,119.8
58,0,4,70.66
46,0,9,61.93
52,0,45,66.06
44,1,4,40.36
59,1,14,109.49
38,1,10,67.33
63,0,0,64.85
44,1,31,89.37
30,1,1,69.78
46,1,12,88.34
38,1,16,35.53
53,0,19,103.24
38,1,23,114.65
40,0,5,88.39
26,0,0,115.91
40,1,25,43.63
20,1,15,72.97
29,1,36,84.16
52,1,34,82.36
52,1,37,66.13
49,1,13,60.43
35,1,8,41.41
44,0,31,65.26
44,0,12,44.64
33,0,4,96.09
60,0,38,48.79
53,0,42,35.27
42,0,12,79.71
45,0,1,83.57
47,1,9,108.47
24,0,32,81.93
42,1,46,61.09
38,0,4,102.27
34,1,1,78.63
42,0,41,37.14
62,0,9,80.93
51,1,15,111.72
39,0,68,65.67
50,0,1,56.67
